page_type,name,slug,parent_category,primary_keyword,secondary_keywords,search_intent,product_count,seller_count,unique_content_available,index_status,canonical_url,priority,publication_phase,notes
subcategory,"Otros",otros-la413603,"Repuestos","repuestos desmalezadora","",transactional,77,1,yes,INDEX,https://www.madsjeez.com.ar/category/otros-la413603,0.8,A,"renombrar slug generico 'Otros' a algo descriptivo"
subcategory,"Otros",otros-la413604,"Repuestos","repuestos motosierra","",transactional,54,1,yes,INDEX,https://www.madsjeez.com.ar/category/otros-la413604,0.8,A,"renombrar slug generico 'Otros'"
category,"Accesorios y repuestos para herramientas",accesorios-y-repuestos-para-herramientas,"","accesorios y repuestos para herramientas","",transactional,53,1,yes,INDEX,https://www.madsjeez.com.ar/category/accesorios-y-repuestos-para-herramientas,0.8,A,ok
subcategory,"Tapas de Arranque",tapas-de-arranque-la455592,"Repuestos","tapas de arranque","",transactional,48,1,yes,INDEX,https://www.madsjeez.com.ar/category/tapas-de-arranque-la455592,0.8,A,"duplicada con la455591: consolidar"
subcategory,"Ropa para Bebes",bebes-ropa-para-bebes,"Bebes","ropa para bebes","body bebe,medias bebe",transactional,44,1,yes,INDEX,https://www.madsjeez.com.ar/category/bebes-ropa-para-bebes,0.8,A,ok
subcategory,"Kits de Repuestos",kits-de-repuestos-la455614,"Repuestos","kits de repuestos desmalezadora","",transactional,42,1,yes,INDEX,https://www.madsjeez.com.ar/category/kits-de-repuestos-la455614,0.8,A,"duplicada con la455615: consolidar"
subcategory,"Kits de Repuestos",kits-de-repuestos-la455615,"Repuestos","kits de repuestos","",transactional,29,1,yes,INDEX,https://www.madsjeez.com.ar/category/kits-de-repuestos-la455615,0.8,A,"duplicada con la455614"
subcategory,"Tapas de Arranque",tapas-de-arranque-la455591,"Repuestos","tapas de arranque motosierra","",transactional,25,1,yes,INDEX,https://www.madsjeez.com.ar/category/tapas-de-arranque-la455591,0.8,A,"duplicada con la455592"
subcategory,"Bodys",bodys-mla10209,"Ropa y Calzado para Bebes","body bebe algodon","",transactional,24,1,yes,INDEX,https://www.madsjeez.com.ar/category/bodys-mla10209,0.8,A,ok
category,"Carreteles para desmalezadoras y bordeadoras de cesped",carreteles-para-desmalezadoras-y-bordeadoras-de-cesped,"","carreteles para desmalezadoras","",transactional,20,1,yes,INDEX,https://www.madsjeez.com.ar/category/carreteles-para-desmalezadoras-y-bordeadoras-de-cesped,0.8,A,ok
