SCORE,FOLDER,PRODUCT_TITLE,SKU,IMAGES_FOUND,EXISTING,TO_UPLOAD
100%,"Switch Stop Llave On Off Compatible Honda Generadores Otros","Switch Stop Llave On Off Compatible Honda Generadores Otros",MAQJEEZ-000072,7,0,7
90%,"ACELERADOR","Acelerador Completo Para Desmalezadoras Niwa Omaha Lusqtoff",MAQJEEZ-000071,7,0,7
90%,"BOMBIN MOTOSIERRA","Kit Reparación Motosierra 38 45 52 Cc Bombin Bujía Juntas #3",MAQJEEZ-000139,1,0,1
90%,"CANILLA HEMBRA GRUPO ELECTROGENO","Canilla Grifo Paso Nafta Grupo Electrógeno Rosca Hembra",MAQJEEZ-000062,8,0,8
90%,"CAPUCHON DE BUJIA","Capuchon De Bujia P/desmalezadoras Chinas 33/43/52cc Niwa",MAQJEEZ-000047,6,0,6
90%,"CAPUCHON DE BUJIA GRUPO ELECTROGENO","Capuchon De Bujia P/grupo Electrogeno Niwa, Gamma, Lusqtoff",MAQJEEZ-000169,5,0,5
90%,"CARRETEL AUTOMATICO REFORZADO","Carretel Automatico Reforzado Mediano Porta Tanza Universal",MAQJEEZ-000069,7,0,7
90%,"CARTER DESMALEZADORA 52CC","Carter Volante Desmalezadora Niwa Gamma  52cc China",MAQJEEZ-000163,6,0,6
90%,"CUCHILLA 3 PUNTAS DESMALEZADORA CHINA","Cuchilla 3 Puntas Raisman® Para Desmalezadora China",MAQJEEZ-000079,8,0,8
90%,"EMBRAGUE FS 160 220 280","Embrague Raisman Para Stihl Fs 160 220  280",MAQJEEZ-000023,7,0,7
90%,"EMBRAGUE FS 160-220-280","Embrague Raisman Para Stihl Fs 160 220  280",MAQJEEZ-000023,6,0,6
90%,"INTERRUPTOR G720","2 Interruptor Llave Tecla G720 Amoladora Black Decker",MAQJEEZ-000095,6,0,6
90%,"JUNTA ALUMINIO TAPA ARRANQUE DESMALEZADORA","Junta Aluminio X 3 Para Tapa De Arranque Desmalezadora China",MAQJEEZ-000138,10,0,10
